0.224,0.28,0.282,0.336
0.291,0.279,0.352,0.338
0.36,0.28,0.423,0.337
0.431,0.279,0.494,0.338
0.501,0.279,0.561,0.337
0.57,0.279,0.632,0.337
0.64,0.28,0.701,0.337
0.712,0.277,0.768,0.336
0.223,0.346,0.283,0.406
0.291,0.347,0.353,0.405
0.361,0.346,0.424,0.406
0.431,0.346,0.493,0.407
0.502,0.345,0.562,0.406
0.571,0.346,0.632,0.407
0.641,0.346,0.702,0.406
0.709,0.345,0.768,0.405
0.223,0.416,0.283,0.476
0.291,0.415,0.351,0.476
0.361,0.415,0.423,0.476
0.43,0.415,0.491,0.474
0.5,0.416,0.562,0.474
0.57,0.416,0.633,0.475
0.64,0.415,0.702,0.476
0.71,0.415,0.769,0.475
0.223,0.484,0.282,0.546
0.29,0.486,0.353,0.546
0.361,0.484,0.423,0.544
0.432,0.486,0.492,0.546
0.5,0.484,0.562,0.545
0.57,0.483,0.634,0.544
0.639,0.484,0.702,0.544
0.71,0.482,0.768,0.544
0.222,0.554,0.284,0.615
0.293,0.553,0.353,0.615
0.36,0.554,0.421,0.613
0.43,0.553,0.492,0.615
0.5,0.553,0.562,0.614
0.571,0.552,0.632,0.614
0.641,0.553,0.702,0.615
0.712,0.553,0.771,0.613
0.222,0.623,0.282,0.684
0.29,0.622,0.353,0.683
0.362,0.622,0.422,0.683
0.43,0.623,0.491,0.683
0.501,0.622,0.559,0.683
0.571,0.621,0.633,0.683
0.64,0.623,0.702,0.683
0.71,0.621,0.768,0.683
0.224,0.692,0.282,0.754
0.29,0.691,0.352,0.753
0.362,0.692,0.423,0.753
0.431,0.691,0.492,0.754
0.501,0.692,0.562,0.754
0.57,0.692,0.632,0.754
0.641,0.693,0.701,0.753
0.711,0.691,0.771,0.752
0.222,0.762,0.281,0.821
0.29,0.762,0.353,0.82
0.362,0.761,0.422,0.82
0.43,0.762,0.493,0.822
0.501,0.762,0.561,0.821
0.571,0.761,0.632,0.822
0.642,0.761,0.702,0.821
0.71,0.761,0.77,0.82
